,frameNUM_veh,objectID_veh,p1x_veh,p1y_veh,p2x_veh,p2y_veh,bx_veh,by_veh,cx_veh,cy_veh,type_veh,zone_veh,course_veh,lostCounter_veh,key,frameNUM_ped,objectID_ped,p1x_ped,p1y_ped,p2x_ped,p2y_ped,bx_ped,by_ped,cx_ped,cy_ped,type_ped,zone_ped,course_ped,lostCounter_ped,distance,ped_veh_overlap,ped_veh_buffer_intersect,pet,intersection,video_name,sub_id
50,427,17,555,458,643,536,599,497,599,536,2,4,351.8698976,0,0,308,4,585,470,611,535,598,502,598,535,0,4,90,0,1.414213562,1,1,3.966666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,11
51,449,25,397,388,508,469,452,428,452,469,2,5,236.3099325,0,0,589,36,492,414,517,468,504,441,504,468,0,5,329.0362435,91,52.0096145,1,1,-4.666666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,2
52,838,46,478,340,570,411,524,375,524,411,7,5,180,0,0,960,63,518,361,541,411,529,386,529,411,0,5,360,0,5,1,1,-4.066666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,2
53,466,26,592,346,680,388,636,367,636,388,2,5,360,0,0,503,30,610,301,633,359,621,330,621,359,0,5,999,2,32.64965543,1,1,-1.233333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,5
54,539,28,614,344,674,385,644,364,644,385,2,5,45,0,0,503,30,610,301,633,359,621,330,621,359,0,5,999,2,34.71310992,1,1,1.2,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,5
55,615,33,612,336,677,386,644,361,644,386,2,5,49.39870535,0,0,503,30,610,301,633,359,621,330,621,359,0,5,999,2,35.4682957,1,1,3.733333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,5
56,539,28,614,344,674,385,644,364,644,385,2,5,45,0,0,688,45,611,302,633,356,622,329,622,356,0,5,270,4,36.40054945,1,1,-4.966666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,5
57,615,33,612,336,677,386,644,361,644,386,2,5,49.39870535,0,0,688,45,611,302,633,356,622,329,622,356,0,5,270,4,37.20215048,1,1,-2.433333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,5
58,696,40,619,342,679,386,649,364,649,386,2,5,57.52880771,0,0,688,45,611,302,633,356,622,329,622,356,0,5,270,4,40.36087214,1,1,0.266666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,5
59,739,41,617,333,676,380,646,356,646,380,2,5,45,0,0,688,45,611,302,633,356,622,329,622,356,0,5,270,4,33.9411255,1,1,1.7,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,5
60,786,46,621,349,680,385,650,367,650,385,2,5,53.13010235,0,0,688,45,611,302,633,356,622,329,622,356,0,5,270,4,40.31128874,1,1,3.266666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,5
61,374,12,559,295,605,322,582,308,582,322,2,5,180,2,0,480,14,555,260,599,319,577,289,577,319,0,5,90,38,5.830951895,1,1,-3.533333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,7
62,441,14,553,285,601,326,577,305,577,326,2,5,251.5650512,10,0,461,14,554,260,598,320,576,290,576,320,0,5,360,19,6.08276253,1,1,-0.666666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,7
